date,year,month,day,time,season,time_period,borough,location_type,event_type,category,attendance,kids_friendly,senior_friendly,adults_only
2021-07-22,2021,Jul,22,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,32,TRUE,TRUE,FALSE
2021-07-23,2021,Jul,23,14:45:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,25,TRUE,TRUE,FALSE
2021-07-23,2021,Jul,23,15:00:00,Summer,Afternoon,Queens,Pool,Agency Produced Event,Nature,14,TRUE,TRUE,FALSE
2021-07-26,2021,Jul,26,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,8,TRUE,FALSE,FALSE
2021-07-26,2021,Jul,26,14:50:00,Summer,Afternoon,Staten Island,Pool,Community Based Event,Nature,0,TRUE,TRUE,FALSE
2021-07-27,2021,Jul,27,15:00:00,Summer,Afternoon,Bronx,Pool,Community Based Event,Nature,26,TRUE,TRUE,FALSE
2021-07-28,2021,Jul,28,14:45:00,Summer,Afternoon,Manhattan,Pool,Community Based Event,Nature,2,TRUE,TRUE,FALSE
2021-07-29,2021,Jul,29,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,5,TRUE,FALSE,FALSE
2021-07-30,2021,Jul,30,14:45:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,8,TRUE,TRUE,FALSE
2021-07-30,2021,Jul,30,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,46,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,13:00:00,Summer,Afternoon,Bronx,Pool,Community Based Event,Mobile Unit,5,TRUE,TRUE,FALSE
2021-07-22,2021,Jul,22,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,12,TRUE,FALSE,FALSE
2021-07-22,2021,Jul,22,15:00:00,Summer,Afternoon,Queens,Pool,Community Based Event,Nature,28,FALSE,FALSE,TRUE
2021-07-02,2021,Jul,2,15:00:00,Summer,Afternoon,Queens,Pool,Community Based Event,Nature,5,TRUE,FALSE,FALSE
2021-07-16,2021,Jul,16,03:00:00,Summer,Midnight,Queens,Pool,Community Based Event,Nature,28,TRUE,FALSE,FALSE
2021-07-05,2021,Jul,5,03:00:00,Summer,Midnight,Bronx,Pool,Community Based Event,Nature,5,TRUE,FALSE,FALSE
2021-07-08,2021,Jul,8,00:00:00,Summer,Midnight,Bronx,Pool,Community Based Event,Nature,0,TRUE,FALSE,FALSE
2021-07-09,2021,Jul,9,15:00:00,Summer,Afternoon,Bronx,Pool,Community Based Event,Nature,5,TRUE,FALSE,FALSE
2021-07-29,2021,Jul,29,15:00:00,Summer,Afternoon,Queens,Pool,Community Based Event,Nature,0,TRUE,FALSE,FALSE
2021-07-16,2021,Jul,16,15:00:00,Summer,Afternoon,Bronx,Pool,Community Based Event,Nature,120,TRUE,FALSE,FALSE
2021-08-02,2021,Aug,2,14:40:00,Summer,Afternoon,Staten Island,Pool,Agency Produced Event,Nature,12,TRUE,TRUE,FALSE
2021-08-03,2021,Aug,3,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,8,TRUE,FALSE,FALSE
2021-08-02,2021,Aug,2,15:00:00,Summer,Afternoon,Brooklyn,Pool,Agency Produced Event,Nature,11,TRUE,TRUE,FALSE
2021-07-29,2021,Jul,29,15:00:00,Summer,Afternoon,Bronx,Pool,Agency Produced Event,Nature,0,TRUE,TRUE,FALSE
2021-07-22,2021,Jul,22,15:00:00,Summer,Afternoon,Manhattan,Pool,Community Based Event,Nature,20,TRUE,FALSE,FALSE
